Role,Message,Timestamp
User,Test query,2026-04-30T17:15:06.357684
Assistant,Test response,2026-04-30T17:15:06.362387
User,hlo,2026-05-01T10:53:52.110523
Assistant,"Hello! Welcome to Vimala College (Autonomous), Thrissur. I'm here to assist you with any information related to our college, courses, eligibility, admission process, and more. Please feel free to ask your questions.",2026-05-01T10:53:52.111675
User,College details,2026-05-01T10:54:02.559425
Assistant,"Vimala College (Autonomous) is located in Thrissur, Kerala, India. It is a women's institution affiliated with the University of Calicut. The college was established in 1967 and is managed by the CMC Management.

Key details:
- Name: Vimala College (Autonomous)
- Location: Thrissur, Kerala, India
- Affiliation: University of Calicut
- Website: https://vimalacollege.edu.in/
- Address: Vimala College, Thrissur Engineering College PO, Thrissur, Kerala, India - 680009
- Phones: +91-487-2332080, +91-487-2321759
- Email: mail@vimalacollege.edu.in",2026-05-01T10:54:02.562471
User,Courses,2026-05-01T10:54:25.679226
Assistant,"Vimala College (Autonomous) offers various courses under different faculties. Here are the courses categorized:

**Aided Courses**
- BA English 
- BA Malayalam 
- BA Hindi 
- BA Sanskrit 
- BA History 
- BA Economics 
- BA Sociology 
- BA Political Science 
- BSc Mathematics 
- BSc Physics 
- BSc Chemistry 
- BSc Botany 
- BSc Zoology 
- BSc Statistics 
- BSc Computer Science 
- BCom Commerce 

**Self-Financing Courses**
- B Voc Web Technology
- B Voc Food Processing
- M A Malayalam
- MSW 

Please let me know if you'd like details on a specific course or eligibility criteria.",2026-05-01T10:54:25.682724
User,UG,2026-05-01T10:57:27.602206
Assistant,"Vimala College (Autonomous) offers various UG courses under different streams. Here are the courses:

**Aided Courses**
- B Sc Mathematics
- B Sc Statistics
- B Sc Physics
- B Sc Chemistry
- B Sc Botany
- B Sc Zoology
- B Sc Family & Community Science
- B Sc Computer Science
- BA English Language & Literature
- BA Functional English
- BA Economics
- BA Sociology
- BA Malayalam Literature
- B Com (Finance)

**Self-Financing Courses**
- B Com (Finance)
- B Sc Psychology
- B Sc Textiles & Fashion Technology
- B Voc Food Processing
- B Voc Web Technology

For specific eligibility criteria and admission details, please let me know.",2026-05-01T10:57:27.602206
User,PG,2026-05-01T11:02:55.568706
Assistant,"Vimala College (Autonomous) offers various PG courses under different streams. Here are the courses:

**Aided Courses**
- M A English
- M A Economics
- M A Malayalam
- M Com
- M S W
- M Sc Physics
- M Sc Zoology

**Self-Financing Courses**
- M Sc Home Science (Textiles & Costume Science)
- M Sc Chemistry
- M Sc Zoology
- M Sc Botany
- M Sc Mathematics
- M Sc Statistics
- M Sc Psychology
- M A Sociology
- M Sc Computer Science (Specialized in Data Science)
- M Sc Home Science (Nutrition & Dietetics)

For specific eligibility criteria and admission details, please let me know.",2026-05-01T11:02:55.572211
User,departments in vimala,2026-05-01T11:03:59.542527
Assistant,"Vimala College (Autonomous) offers programs under several faculties:

1. **Science**: 
   - Mathematics
   - Statistics
   - Physics
   - Computer Science
   - Chemistry
   - Botany
   - Zoology
   - Home Science
   - Psychology

2. **Arts**:
   - English
   - Functional English
   - Malayalam
   - Hindi
   - Sanskrit
   - History
   - Economics
   - Sociology
   - Political Science
   - Social Work

3. **Commerce and Management**:
   - Commerce

4. **Vocational**:
   - Food Processing
   - Web Technology

5. **Physical Education**.

Let me know if you'd like more information on courses or departments.",2026-05-01T11:03:59.544440
User,PhD,2026-05-01T11:06:02.655523
Assistant,"Vimala College (Autonomous) offers PhD programs in the following subjects:

- English
- Commerce
- Physics
- Economics
- Malayalam
- Social Work
- Chemistry
- Botany
- Sociology
- Statistics
- Zoology

For specific eligibility criteria and admission details, please let me know.",2026-05-01T11:06:02.656521
User,eligibility for msc botany,2026-05-01T11:07:01.034811
Assistant,"Here are the eligibility criteria for M Sc Botany:

* Bachelor degree in Botany or Plant Science, of University of Calicut or an equivalent degree, with a minimum of 50% marks or equivalent CGPA in the Core (Main) subject.
* OBC/OEC candidates are eligible for relaxation up to 5%.
* SC/ST candidates need only to get a pass.

Would you like to know more about M Sc Botany or other courses?",2026-05-01T11:07:01.039646
User,MSc Botany,2026-05-01T11:07:35.759963
Assistant,"Here are the eligibility criteria for M Sc Botany:

* Bachelor degree in Botany or Plant Science, of University of Calicut or an equivalent degree, with a minimum of 50% marks or equivalent CGPA in the Core (Main) subject.
* OBC/OEC candidates are eligible for relaxation up to 5%.
* SC/ST candidates need only to get a pass.

Would you like to know more about M Sc Botany or other courses?",2026-05-01T11:07:35.759963
User,yes,2026-05-01T11:10:02.757261
